"","Interval*","Category_name_From","Category_name_To_","Observed_Annual_Transition_number_of_elements","Transition_Intensity_percent_of_t2_category","Uniform_Intensity_percent_of_t2_non_category","Uniform_Annual_Transition_number_of_elements","Hypothesized_Annual_error_number_of_elements","Commission_Intensity_percent_of_transition","Omission_Intensity_percent_of_transition","Hypothesized  t2 Error_percent of interval's domain"
"60","2003_2004","Forest","Non-Vegetation",1,0.0102743245661259,7.20398187637329,755.518981933594,754.518981933594,0,99.8676376342773,0.707801043987274
"61","2004_2005","Forest","Mosaic Vegetation",297,0.728888034820557,0.451311498880386,183.383117675781,113.616874694824,38.2548408508301,0,0.0240041390061378
"62","2004_2005","Forest","Shrubland",458,0.428606182336807,0.451311498880386,482.372436523438,24.3724422454834,0,5.05261898040771,0.0240041445940733
"63","2004_2005","Forest","Other Vegetation",0,0,0.451311498880386,5.00053358078003,5.00053358078003,0,100,0.0240041445940733
"64","2004_2005","Forest","Cropland",69,0.285773456096649,0.451311498880386,109.150360107422,40.1503639221191,0,36.7844543457031,0.0240041445940733
"65","2004_2005","Forest","Non-Vegetation",0,0,0.451311498880386,44.0935554504395,44.0935554504395,0,100,0.0240041445940733
"66","2005_2006","Forest","Mosaic Vegetation",95,0.232376113533974,0.13031242787838,53.2198791503906,41.7801208496094,43.979076385498,0,0.00882699713110924
"67","2005_2006","Forest","Shrubland",119,0.111510924994946,0.13031242787838,139.090393066406,20.0903911590576,0,14.4441261291504,0.00882699899375439
"68","2005_2006","Forest","Other Vegetation",0,0,0.13031242787838,1.43922162055969,1.43922162055969,0,100,0.00882699899375439
"69","2005_2006","Forest","Cropland",24,0.099116213619709,0.13031242787838,31.5637073516846,7.56370782852173,0,23.963306427002,0.00882699899375439
"70","2005_2006","Forest","Non-Vegetation",0,0,0.13031242787838,12.6868095397949,12.6868095397949,0,100,0.00882699899375439
"71","2006_2007","Forest","Mosaic Vegetation",272,0.661092758178711,0.412641227245331,169.353546142578,102.646461486816,37.7376708984375,0,0.0246794074773788
"72","2006_2007","Forest","Shrubland",451,0.421700268983841,0.412641227245331,441.271392822266,9.72860813140869,2.1571192741394,0,0.0246794074773788
"73","2006_2007","Forest","Other Vegetation",9,0.810810804367065,0.412641227245331,4.56200456619263,4.43799543380737,49.3110618591309,0,0.0246794074773788
"74","2006_2007","Forest","Cropland",24,0.0987816900014877,0.412641227245331,100.571281433105,76.5712814331055,0,76.1363296508789,0.0246794037520885
"75","2006_2007","Forest","Non-Vegetation",0,0,0.412641227245331,40.241771697998,40.241771697998,0,100,0.0246794037520885
"76","2007_2008","Forest","Mosaic Vegetation",301,0.725755870342255,0.306126892566681,126.428665161133,174.571334838867,57.9971199035645,0,0.0368821509182453
"77","2007_2008","Forest","Shrubland",243,0.227270603179932,0.306126892566681,327.572814941406,84.5728302001953,0,25.8180236816406,0.0368821509182453
"78","2007_2008","Forest","Other Vegetation",0,0,0.306126892566681,3.41151332855225,3.41151332855225,0,100,0.0368821509182453
"79","2007_2008","Forest","Cropland",18,0.0738613083958626,0.306126892566681,74.7769317626953,56.7769317626953,0,75.9284057617188,0.0368821509182453
"80","2007_2008","Forest","Non-Vegetation",0,0,0.306126892566681,29.8100547790527,29.8100547790527,0,100,0.0368821509182453
"81","2008_2009","Forest","Mosaic Vegetation",446,1.06388056278229,0.482255816459656,200.989700317383,245.010299682617,54.9350433349609,0,0.051763977855444
"82","2008_2009","Forest","Shrubland",407,0.379572123289108,0.482255816459656,517.637145996094,110.637168884277,0,21.3734970092773,0.051763977855444
"83","2008_2009","Forest","Other Vegetation",0,0,0.482255816459656,5.38382577896118,5.38382577896118,0,100,0.051763977855444
"84","2008_2009","Forest","Cropland",36,0.147547036409378,0.482255816459656,118.061340332031,82.0613403320312,0,69.5073776245117,0.051763977855444
"85","2008_2009","Forest","Non-Vegetation",0,0,0.482255816459656,46.9279670715332,46.9279670715332,0,100,0.051763977855444
"86","2009_2010","Forest","Mosaic Vegetation",500,1.17782855033875,0.75792670249939,320.386108398438,179.613876342773,35.9227752685547,0,0.0379475019872189
"87","2009_2010","Forest","Shrubland",808,0.749056696891785,0.75792670249939,817.641052246094,9.64105892181396,0,1.17913091182709,0.0379475019872189
"88","2009_2010","Forest","Other Vegetation",1,0.0903342366218567,0.75792670249939,8.44668960571289,7.44668912887573,0,88.1610412597656,0.0379475019872189
"89","2009_2010","Forest","Cropland",98,0.399592250585556,0.75792670249939,186.552688598633,88.5526885986328,0,47.4679222106934,0.0379475019872189
"90","2009_2010","Forest","Non-Vegetation",0,0,0.75792670249939,73.9734420776367,73.9734420776367,0,100,0.0379475019872189
"91","2010_2011","Forest","Mosaic Vegetation",341,0.796505630016327,0.641924798488617,274.393280029297,66.6067123413086,19.5327606201172,0,0.0151005182415247
"92","2010_2011","Forest","Shrubland",691,0.636878073215485,0.641924798488617,696.510986328125,5.51097249984741,0,0.791225492954254,0.015100521966815
"93","2010_2011","Forest","Other Vegetation",12,1.07526886463165,0.641924798488617,7.13263559341431,4.86736440658569,40.5613708496094,0,0.0151005182415247
"94","2010_2011","Forest","Cropland",155,0.628064334392548,0.641924798488617,158.442718505859,3.44272351264954,0,2.17285060882568,0.015100521966815
"95","2010_2011","Forest","Non-Vegetation",0,0,0.641924798488617,62.5203971862793,62.5203971862793,0,100,0.015100521966815
"96","2011_2012","Forest","Mosaic Vegetation",84,0.195918366312981,0.0957751870155334,41.0224494934082,42.9775505065918,51.1637496948242,0,0.00907998159527779
"97","2011_2012","Forest","Shrubland",88,0.0812340155243874,0.0957751870155334,103.76741027832,15.767406463623,0,15.1949510574341,0.00907998159527779
"98","2011_2012","Forest","Other Vegetation",0,0,0.0957751870155334,1.06795847415924,1.06795847415924,0,100,0.00907998159527779
"99","2011_2012","Forest","Cropland",7,0.0281180962920189,0.0957751870155334,23.8593807220459,16.8593807220459,0,70.6614379882812,0.00907998159527779
"100","2011_2012","Forest","Non-Vegetation",0,0,0.0957751870155334,9.28280162811279,9.28280162811279,0,100,0.00907998159527779
"101","2012_2013","Forest","Mosaic Vegetation",183,0.424998253583908,0.279663562774658,120.244827270508,62.7551689147949,34.2924423217773,0,0.0132584515959024
"102","2012_2013","Forest","Shrubland",272,0.250598847866058,0.279663562774658,303.635314941406,31.6353149414062,0,10.418851852417,0.013258459046483
"103","2012_2013","Forest","Other Vegetation",0,0,0.279663562774658,3.11858034133911,3.11858034133911,0,100,0.013258459046483
"104","2012_2013","Forest","Cropland",68,0.272545099258423,0.279663562774658,69.7810363769531,1.78103756904602,0,2.55232310295105,0.013258459046483
"105","2012_2013","Forest","Non-Vegetation",1,0.0103018442168832,0.279663562774658,27.2202701568604,26.2202701568604,0,96.3262634277344,0.013258459046483
"106","2013_2014","Forest","Mosaic Vegetation",297,0.685105323791504,0.571222305297852,247.346939086914,49.6530570983887,16.7182006835938,0,0.0214369129389524
"107","2013_2014","Forest","Shrubland",675,0.618420720100403,0.571222305297852,623.187438964844,51.8125610351562,7.67593479156494,0,0.0214369129389524
"108","2013_2014","Forest","Other Vegetation",2,0.179533213376999,0.571222305297852,6.38848447799683,4.38848447799683,0,68.6936721801758,0.0214369092136621
"109","2013_2014","Forest","Cropland",100,0.399792104959488,0.571222305297852,143.126190185547,43.1261825561523,0,30.1315822601318,0.0214369092136621
"110","2013_2014","Forest","Non-Vegetation",2,0.0205317735671997,0.571222305297852,55.9509429931641,53.9509429931641,0,96.4254379272461,0.0214369092136621
"111","2014_2015","Forest","Mosaic Vegetation",0,0,0,0,0,0,0,0
"112","2014_2015","Forest","Shrubland",0,0,0,0,0,0,0,0
"113","2014_2015","Forest","Other Vegetation",0,0,0,0,0,0,0,0
"114","2014_2015","Forest","Cropland",0,0,0,0,0,0,0,0
"115","2014_2015","Forest","Non-Vegetation",0,0,0,0,0,0,0,0
