Interval*, Id*, Category_name, Observed_Annual_Gain_number_of_elements, Gain_Intensity_percent_of_t2_category, Uniform_Intensity_percent_of_interval_domain, Uniform_Annual_Gain_number_of_elements, Hypothesized_Annual_Error_number_of_elements, Commission_Intensity_percent_of_t2_category, Omission_Intensity_percent_of_t2_category, 
14, 4, Non-Forest, 69, 0.0045803077302982, 0.0414997928462919, 625.404120892595, 556.404120892595, 0, 88.9671337787923, 
15, 1, Forest, 626, 0.120114819021889, 0.0786148322054965, 409.545183117649, 216.454816882351, 34.577446786318, 0, 
15, 2, Other Vegetation, 1327, 0.248010032538468, 0.0786148322054965, 419.922637704064, 907.077362295936, 68.3554907532732, 0, 
15, 3, Cropland, 238, 0.0715696917391134, 0.0786148322054965, 261.446553930154, 23.4465539301543, 0, 8.96801031709835, 
15, 4, Non-Forest, 86, 0.00570918727727531, 0.0786148322054965, 1185.07384309513, 1099.07384309513, 0, 92.7430682483558, 
16, 1, Forest, 478, 0.0918444792437241, 0.0665653915205082, 346.348617640799, 131.651382359201, 27.5421302006696, 0, 
16, 2, Other Vegetation, 1131, 0.211126812358479, 0.0665653915205082, 356.072972203566, 774.927027796434, 68.5169785850074, 0, 
16, 3, Cropland, 201, 0.0604293187421081, 0.0665653915205082, 221.423400191814, 20.4234001918139, 0, 9.22368646408718, 
16, 4, Non-Forest, 118, 0.00783349442892498, 0.0665653915205082, 1003.29840882897, 885.298408828968, 0, 88.2387932681237, 
17, 1, Forest, 359, 0.0691316563290128, 0.0704667863554758, 365.938206006926, 6.93820600692591, 0, 1.89600481530332, 
17, 2, Other Vegetation, 1428, 0.266004016139067, 0.0704667863554758, 377.549449118095, 1050.45055088191, 73.5609629469121, 0, 
17, 3, Cropland, 152, 0.0456924357976186, 0.0704667863554758, 234.472222346986, 82.472222346986, 0, 35.1735576698457, 
17, 4, Non-Forest, 102, 0.00677146055093134, 0.0704667863554758, 1062.13328063312, 960.133280633121, 0, 90.3966854386486, 
18, 1, Forest, 332, 0.0642168828506106, 0.110861759425494, 573.420722254924, 241.420722254924, 0, 42.101848239031, 
18, 2, Other Vegetation, 2499, 0.46372153697989, 0.110861759425494, 595.32468221053, 1903.67531778947, 76.1774837050608, 0, 
18, 3, Cropland, 260, 0.078121478899689, 0.110861759425494, 369.085498735133, 109.085498735133, 0, 29.5556176303247, 
18, 4, Non-Forest, 120, 0.0079660116834838, 0.110861759425494, 1671.74183228265, 1551.74183228265, 0, 92.8218581552064, 
19, 1, Forest, 550, 0.106576135084282, 0.0756801546747687, 390.436518729822, 159.563481270178, 29.0115420491233, 0, 
19, 2, Other Vegetation, 1344, 0.248981104112634, 0.0756801546747687, 407.812967139888, 936.187032860112, 69.6567732782822, 0, 
19, 3, Cropland, 202, 0.0606883622554439, 0.0756801546747687, 251.937674140905, 49.9376741409049, 0, 19.8214396918563, 
19, 4, Non-Forest, 96, 0.00637279665534389, 0.0756801546747687, 1140.83885608774, 1044.83885608774, 0, 91.5851393483203, 
20, 1, Forest, 334, 0.0647112502639793, 0.0334553238502969, 172.621984429952, 161.378015570048, 48.3167711287569, 0, 
20, 2, Other Vegetation, 244, 0.0452277327560001, 0.0334553238502969, 180.467540756454, 63.5324592435461, 26.0378931326009, 0, 
20, 3, Cropland, 264, 0.0792828505788549, 0.0334553238502969, 111.350140618098, 152.649859381902, 57.8219164325387, 0, 
20, 4, Non-Forest, 127, 0.00843014726869866, 0.0334553238502969, 504.129954745943, 377.129954745943, 0, 74.8080829547211, 
21, 1, Forest, 283, 0.0548619727047146, 0.0384270128435299, 198.189312838416, 84.8106871615836, 29.9684406931391, 0, 
21, 2, Other Vegetation, 495, 0.0917145620490701, 0.0384270128435299, 207.286945646494, 287.713054353506, 58.1238493643447, 0, 
21, 3, Cropland, 85, 0.0255387166945089, 0.0384270128435299, 127.912348240434, 42.9123482404335, 0, 33.5482452091117, 
21, 4, Non-Forest, 250, 0.0165922449174635, 0.0384270128435299, 579.117031921188, 329.117031921188, 0, 56.8308327643828, 
22, 1, Forest, 1695, 0.328845896410632, 0.145111172489988, 746.58331780304, 948.41668219696, 55.9537865602926, 0, 
22, 2, Other Vegetation, 1566, 0.290092399801418, 0.145111172489988, 782.213378272642, 783.786621727358, 50.0502312725005, 0, 
22, 3, Cropland, 347, 0.104289389531389, 0.145111172489988, 483.022886407807, 136.022886407807, 0, 28.1607539177689, 
22, 4, Non-Forest, 595, 0.0394792979187443, 0.145111172489988, 2189.31157594037, 1594.31157594037, 0, 72.8225070136747, 
